version,1,0.01*
steps,0*
scaleforces,0.21994*

m,1,concrete,36.19,29008.9*
m,11,steel,597.0,200000.0,416.1*
m,12,steel,492.0,200000.0,455.6*
m,13,steel,0.0,200000.0,0.0*
m,14,steel,0.0,200000.0,0.0*
m,15,steel,461.0,200000.0,991.4*
m,16,steel,461.0,200000.0,991.4*
m,17,steel,430.0,200000.0,1299.0*
m,18,steel,430.0,200000.0,1299.0*
m,19,steel,364.0,200000.0,933.5*
m,20,steel,430.0,200000.0,1299.0*
m,21,steel,430.0,200000.0,1299.0*
m,22,steel,1.0E8,200000.0,0.33*
m,23,steelLinSoft,0.60,29008.9,2.90089*
b,42,uy,0.0*
b,34,ux,0.0*
b,33,ux,0.0*
b,32,ux,0.0*
b,30,ux,0.0*
b,31,ux,0.0*
b,733,ux,0.0*
b,810,ux,0.0*
b,860,ux,0.0*
b,876,ux,0.0*
b,899,ux,0.0*
b,901,ux,0.0*
b,914,ux,0.0*
b,916,ux,0.0*
b,928,ux,0.0*
b,932,ux,0.0*
b,935,ux,0.0*
b,937,ux,0.0*
b,948,ux,0.0*
b,949,ux,0.0*
b,951,ux,0.0*
f,49,-0.2,1.0*
n,1,0.3932,-0.18*
n,2,0.4069,-0.1975*
n,3,0.3917,0.25*
n,4,0.3835,-0.215*
n,5,0.3917,0.22*
n,6,0.4119,0.22*
n,7,0.4334,0.25*
n,8,0.4549,0.22*
n,9,0.4334,0.22*
n,10,0.4119,0.25*
n,11,0.4285,-0.18*
n,12,0.3108,0.22*
n,13,0.3108,0.25*
n,14,0.2906,0.25*
n,15,0.2704,0.25*
n,16,0.2906,0.22*
n,17,0.331,0.22*
n,18,0.3715,0.22*
n,19,0.3715,0.25*
n,20,0.3512,0.25*
n,21,0.331,0.25*
n,22,0.3512,0.22*
n,23,0.4549,0.25*
n,24,1.177,0.22*
n,25,1.427,-0.215*
n,26,1.177,-0.215*
n,27,1.13,0.27*
n,28,1.13,0.25*
n,29,1.427,0.22*
n,30,1.68,-0.215*
n,31,1.68,-0.25*
n,32,1.68,-0.18*
n,33,1.68,0.22*
n,34,1.68,0.25*
n,35,0.677,-0.215*
n,36,0.677,0.22*
n,37,0.477,0.25*
n,38,0.477,-0.215*
n,39,0.477,0.22*
n,40,0.927,-0.215*
n,41,1.03,0.27*
n,42,1.08,0.27*
n,43,1.03,0.25*
n,44,0.927,0.22*
n,45,0.927,0.03*
n,46,0.2704,0.22*
n,47,0.0824,0.22*
n,48,0.0824,0.25*
n,49,0.08,-0.02*
n,50,0.0584,0.22*
n,51,0.0584,0.25*
n,52,0.0996,0.198*
n,53,0.1216,0.25*
n,54,0.13,0.0*
n,55,0.1216,0.22*
n,56,0.0996,0.22*
n,57,0.0996,0.25*
n,58,0.015,0.03*
n,59,0.015,0.05*
n,60,0.0,0.25*
n,61,0.0,0.0*
n,62,0.0,0.22*
n,63,0.015,0.01*
n,64,0.0354,0.25*
