version,1,0.01*
steps,0*
scaleforces,0.20259*

m,1,concrete,36.55,29154.1*
m,11,steel,430.0,200000.0,1299.0*
m,12,steel,430.0,200000.0,1299.0*
m,13,steel,0.0,200000.0,0.0*
m,14,steel,0.0,200000.0,0.0*
m,15,steel,461.0,200000.0,991.4*
m,16,steel,461.0,200000.0,991.4*
m,17,steel,430.0,200000.0,1299.0*
m,18,steel,430.0,200000.0,1299.0*
m,19,steel,544.0,200000.0,319.3*
m,20,steel,0.0,200000.0,0.0*
m,21,steel,618.0,200000.0,325.0*
m,22,steel,1.0E8,200000.0,0.33*
m,23,steelLinSoft,0.61,29154.1,2.91541*
b,41,uy,0.0*
b,33,ux,0.0*
b,32,ux,0.0*
b,29,ux,0.0*
b,31,ux,0.0*
b,30,ux,0.0*
b,226,ux,0.0*
b,232,ux,0.0*
b,237,ux,0.0*
b,278,ux,0.0*
b,353,ux,0.0*
b,379,ux,0.0*
b,419,ux,0.0*
b,422,ux,0.0*
b,423,ux,0.0*
b,503,ux,0.0*
b,504,ux,0.0*
b,593,ux,0.0*
b,670,ux,0.0*
b,773,ux,0.0*
b,781,ux,0.0*
f,49,-0.2,1.0*
n,1,0.426,-0.18*
n,2,0.426,-0.215*
n,3,0.4079,0.25*
n,5,0.4079,0.22*
n,6,0.426,0.22*
n,7,0.4664,0.22*
n,8,0.4664,0.25*
n,9,0.4462,0.25*
n,10,0.426,0.25*
n,11,0.4462,0.22*
n,12,0.327,0.25*
n,13,0.3472,0.22*
n,14,0.327,0.22*
n,15,0.3068,0.22*
n,16,0.3068,0.25*
n,17,0.3472,0.25*
n,18,0.3877,0.22*
n,19,0.3877,0.25*
n,20,0.226,0.03*
n,21,0.3675,0.22*
n,22,0.3675,0.25*
n,23,1.326,0.22*
n,24,1.576,-0.215*
n,25,1.326,-0.215*
n,26,1.13,0.25*
n,27,1.13,0.27*
n,28,1.576,0.22*
n,29,1.68,-0.18*
n,30,1.68,-0.25*
n,31,1.68,-0.215*
n,32,1.68,0.22*
n,33,1.68,0.25*
n,34,0.826,-0.215*
n,35,0.826,0.22*
n,36,0.626,0.22*
n,37,0.626,-0.1975*
n,38,0.626,-0.215*
n,39,0.826,0.03*
n,40,1.076,0.22*
n,41,1.08,0.27*
n,42,1.076,-0.215*
n,43,1.03,0.27*
n,44,1.03,0.25*
n,45,0.0942,0.25*
n,46,0.0942,0.198*
n,47,0.0942,0.22*
n,48,0.077,0.25*
n,49,0.08,-0.02*
n,50,0.1132,0.22*
n,51,0.132,0.22*
n,52,0.132,0.25*
n,53,0.13,-0.02*
n,54,0.1132,0.25*
n,55,0.13,0.0*
n,56,0.0,0.0*
n,57,0.03,0.0*
n,58,0.0,0.03*
n,59,0.0,0.25*
n,60,0.0,0.22*
n,61,0.03,-0.02*
n,62,0.0531,0.25*
n,63,0.077,0.22*
n,64,0.0531,0.22*
n,65,0.03,0.22*
n,66,0.03,0.25*
n,67,0.226,-0.1975*
n,68,0.2462,0.22*
n,69,0.226,0.25*
n,70,0.226,-0.18*
n,71,0.226,0.22*
n,72,0.2462,0.25*
n,73,0.2866,0.22*
n,74,0.2866,0.25*
n,75,0.2664,0.25*
n,76,0.256,-0.1975*
n,77,0.2664,0.22*
n,78,0.1696,0.25*
n,79,0.18,0.0*
n,80,0.1696,0.22*
n,81,0.1508,0.22*
n,82,0.1508,0.25*
n,83,0.18,-0.25*
n,84,0.2072,0.25*
n,85,0.226,-0.215*
n,86,0.2072,0.22*
n,87,0.1884,0.22*
n,88,0.1884,0.25*
n,89,0.6260000000000001,-0.18*
n,90,0.826,-0.18*
n,91,1.076,-0.18*
n,92,1.326,-0.18*
n,93,1.576,-0.18*
n,94,0.3974285714285714,-0.18*
n,95,0.426,-0.1975*
n,96,0.426,0.030000000000000027*
n,97,0.626,0.030000000000000027*
n,98,0.4117142857142857,-0.1975*
n,99,0.3117142857142857,-0.18*
n,100,0.113,0.03*
n,101,0.9510000000000001,0.22*
n,102,0.7482,0.25*
n,103,1.08,0.25*
n,104,1.4049999999999998,0.25*
n,105,0.18,-0.125*
n,106,0.16010000000000002,0.114*
n,107,0.3117142857142857,-0.075*
n,108,0.33385714285714285,-0.1975*
n,109,0.726,0.22*
n,110,1.451,0.22*
n,111,0.8891,0.25*
n,112,1.2674999999999998,0.25*
n,113,0.08,0.0*
n,114,0.1695,0.03*
n,115,0.326,-0.215*
n,116,0.95955,0.25*
n,117,0.29492857142857143,-0.1975*
n,118,0.31439285714285714,-0.1975*
n,119,0.9299999999999999,-0.25*
n,120,0.5549999999999999,-0.25*
n,121,0.326,0.030000000000000013*
n,122,1.305,-0.25*
n,123,0.726,-0.18*
n,124,0.25630000000000003,0.12382816037735846*
n,125,0.426,0.125*
n,126,0.36749999999999994,-0.25*
n,127,0.526,-0.215*
n,128,0.18,-0.1875*
n,129,1.451,-0.18*
n,130,0.7424999999999999,-0.25*
n,131,1.4925,-0.25*
n,132,0.3371,0.13850185668740914*
n,133,0.0,0.125*
n,134,1.201,0.22*
n,135,0.426,-0.07499999999999998*
n,136,1.1175,-0.25*
n,137,1.5425,0.25*
n,138,0.19780000000000006,0.16071259433962265*
n,139,0.12715,0.156*
n,140,0.5462,0.22*
n,141,0.6073,0.25*
n,142,0.5760000000000001,-0.215*
n,143,0.2563,0.17244443294266765*
n,144,0.0,0.1725*
n,145,0.9510000000000001,-0.18*
n,146,0.27374999999999994,-0.25*
n,147,1.02375,-0.25*
n,148,0.16019999999999998,0.18015669921875008*
n,149,1.576,0.020000000000000004*
n,150,1.201,-0.18*
n,151,0.29669999999999985,0.1801341946614448*
n,152,0.3371000000000002,0.18087583821773803*
n,153,0.35457142857142854,-0.18*
n,154,0.46124999999999994,-0.25*
n,155,0.041549999999999955,0.17948157894736844*
n,156,0.8885000000000001,-0.18*
n,157,0.476,-0.215*
n,158,0.826,-0.075*
n,159,1.6280000000000001,0.22*
n,160,0.6487499999999999,-0.25*
n,161,0.21659999999999993,0.18812074649047744*
n,162,0.726,-0.215*
n,163,0.26885714285714285,-0.18*
n,164,0.3727857142857143,-0.1975*
n,165,1.6280000000000001,-0.18*
n,166,0.11067500000000001,0.177*
n,167,0.8362499999999999,-0.25*
n,168,0.2474285714285714,-0.11534155844155845*
n,169,1.576,-0.07999999999999999*
n,170,1.076,0.020000000000000004*
n,171,0.376,-0.215*
n,172,1.1385,-0.18*
n,173,1.0135,-0.18*
n,174,1.326,0.020000000000000004*
n,175,0.9197500000000001,-0.09029761904761895*
n,176,1.6280000000000001,-0.215*
n,177,1.076,-0.07999999999999999*
n,178,1.58625,-0.25*
n,179,1.16975,-0.09093749999999998*
n,180,0.0565,0.03*
n,181,1.0135,0.22*
n,182,1.3362499999999997,0.25*
n,183,1.3885,0.22*
n,184,1.076,0.12*
n,185,1.326,0.12*
n,186,0.9822500000000001,0.1309375*
n,187,1.4197499999999998,0.13093750000000015*
n,188,1.0550000000000002,0.25*
n,189,1.1385,0.22*
n,190,1.105,0.25*
n,191,0.055,0.0*
n,192,0.10500000000000001,0.0*
n,193,0.776,0.22*
n,194,0.81865,0.25*
n,195,0.26885714285714285,-0.0225*
n,196,1.4509999999999998,-0.02999999999999999*
n,197,1.201,0.07*
n,198,0.826,0.125*
n,199,0.09384418141592919,0.0959457625632111*
n,200,0.179,0.19675181798671462*
n,201,0.1414,0.19675181798671462*
n,202,0.776,-0.215*
n,203,1.451,-0.215*
n,204,1.16975,0.14500000000000002*
n,205,0.08516325687309646,0.1400229152135364*
n,206,0.2563000000000001,0.19729475125865975*
n,207,0.9510000000000001,-0.215*
n,208,0.8885000000000001,-0.215*
n,209,0.8885000000000001,0.22*
n,210,0.07365000000000001,0.20900000000000002*
n,211,1.04475,0.22*
n,212,0.8572500000000001,0.22*
n,213,0.08066276854732321,0.1704172047293881*
n,214,0.9768749999999999,-0.25*
n,215,1.076,0.16999999999999998*
n,216,0.8728750000000002,0.1622203947368421*
n,217,1.029125,0.17546874999999998*
n,218,0.9019313163665741,0.0775*
n,219,0.826,0.1725*
n,220,0.7558750000000001,0.14875000000000002*
n,221,0.6018749999999999,-0.25*
n,222,0.35457142857142854,-0.1275*
n,223,0.29028571428571426,-0.1370182566173457*
n,224,0.276,-0.215*
n,225,0.30100000000000005,-0.215*
n,226,1.68,0.020000000000000004*
n,227,0.726,0.030000000000000013*
n,228,0.9822500000000001,-0.11881876639175896*
n,229,0.046633623534412645,0.10954114229426351*
n,230,1.576,0.12*
n,231,0.32062499999999994,-0.25*
n,232,1.68,0.12*
n,233,0.9886425576715524,-0.022069931427654756*
n,234,0.6260000000000001,-0.07499999999999998*
n,235,0.526,-0.18*
n,236,1.576,0.16999999999999998*
n,237,1.68,0.16999999999999998*
n,238,0.526,0.030000000000000027*
n,239,1.6280000000000001,0.14500000000000046*
n,240,1.628,0.07842000000000122*
n,241,0.2754642857142857,-0.1975*
n,242,0.526,-0.1975*
n,243,1.0135,-0.215*
n,244,1.201,-0.215*
n,245,1.5135,-0.215*
n,246,1.5135,0.22*
n,247,1.19875,0.25*
n,248,0.476,-0.1975*
n,249,0.5760000000000001,-0.1975*
n,250,1.1385,-0.215*
n,251,0.5760000000000001,-0.18*
n,252,0.476,-0.18*
n,253,0.426,0.1725*
n,254,0.6260000000000001,-0.02249999999999998*
