version,1,0.01*
steps,2*

m,1,concrete,33.7,36220*
m,11,steel,1.0E8,210000.0,20.5*
m,12,steel,319,208000,20.5*
m,13,steel,654,210000.0,20.5*
m,14,steel,457,210000.0,20.5*
m,15,steelLinSoft,0.472,36220,3.6*
b,431,ux,0.0*
b,432,ux,0.0*
b,433,ux,0.0*
b,434,ux,0.0*
b,435,ux,0.0*
b,436,ux,0.0*
b,437,ux,0.0*
b,438,ux,0.0*
b,439,ux,0.0*
b,440,ux,0.0*
b,441,ux,0.0*
b,66,uy,0.0*
f,338,0,-1,G*
n,2,0,0.03*
n,3,0,0.063*
n,4,0,0.113*
n,5,0,0.1584*
n,6,0,0.2038*
n,7,0,0.2492*
n,8,0,0.2946*
n,9,0,0.34*
n,10,0,0.37*
n,11,0,0.4*
n,12,0,0.43*
n,15,0.1075,0.03*
n,16,0.1075,0.063*
n,17,0.1075,0.113*
n,18,0.1075,0.1584*
n,19,0.1075,0.2038*
n,20,0.1075,0.2492*
n,21,0.1075,0.2946*
n,22,0.1075,0.34*
n,23,0.1075,0.37*
n,24,0.1075,0.4*
n,25,0.1075,0.43*
n,28,0.1875,0.03*
n,29,0.1875,0.063*
n,30,0.1875,0.113*
n,31,0.1875,0.1584*
n,32,0.1875,0.2038*
n,33,0.1875,0.2492*
n,34,0.1875,0.2946*
n,35,0.1875,0.34*
n,36,0.1875,0.37*
n,37,0.1875,0.4*
n,38,0.1875,0.43*
n,41,0.2675,0.03*
n,42,0.2675,0.063*
n,43,0.2675,0.113*
n,44,0.2675,0.1584*
n,45,0.2675,0.2038*
n,46,0.2675,0.2492*
n,47,0.2675,0.2946*
n,48,0.2675,0.34*
n,49,0.2675,0.37*
n,50,0.2675,0.4*
n,51,0.2675,0.43*
n,53,0.3475,0*
n,54,0.3475,0.03*
n,55,0.3475,0.063*
n,56,0.3475,0.113*
n,57,0.3475,0.1584*
n,58,0.3475,0.2038*
n,59,0.3475,0.2492*
n,60,0.3475,0.2946*
n,61,0.3475,0.34*
n,62,0.3475,0.37*
n,63,0.3475,0.4*
n,64,0.3475,0.43*
n,66,0.4,0*
n,67,0.4,0.03*
n,68,0.4,0.063*
n,69,0.4,0.113*
n,70,0.4,0.1584*
n,71,0.4,0.2038*
n,72,0.4,0.2492*
n,73,0.4,0.2946*
n,74,0.4,0.34*
n,75,0.4,0.37*
n,76,0.4,0.4*
n,77,0.4,0.43*
n,79,0.4525,0*
n,80,0.4525,0.03*
n,81,0.4525,0.063*
n,82,0.4525,0.113*
n,83,0.4525,0.1584*
n,84,0.4525,0.2038*
n,85,0.4525,0.2492*
n,86,0.4525,0.2946*
n,87,0.4525,0.34*
n,88,0.4525,0.37*
n,89,0.4525,0.4*
n,90,0.4525,0.43*
n,93,0.505,0.03*
n,94,0.505,0.063*
n,95,0.505,0.113*
n,96,0.505,0.1584*
n,97,0.505,0.2038*
n,98,0.505,0.2492*
n,99,0.505,0.2946*
n,100,0.505,0.34*
n,101,0.505,0.37*
n,102,0.505,0.4*
n,103,0.505,0.43*
n,106,0.5575,0.03*
n,107,0.5575,0.063*
n,108,0.5575,0.113*
n,109,0.5575,0.1584*
n,110,0.5575,0.2038*
n,111,0.5575,0.2492*
n,112,0.5575,0.2946*
n,113,0.5575,0.34*
n,114,0.5575,0.37*
n,115,0.5575,0.4*
n,116,0.5575,0.43*
n,119,0.61,0.03*
n,120,0.61,0.063*
n,121,0.61,0.113*
n,122,0.61,0.1584*
n,123,0.61,0.2038*
n,124,0.61,0.2492*
n,125,0.61,0.2946*
n,126,0.61,0.34*
n,127,0.61,0.37*
n,128,0.61,0.4*
n,129,0.61,0.43*
n,132,0.6625,0.03*
n,133,0.6625,0.063*
n,134,0.6625,0.113*
n,135,0.6625,0.1584*
n,136,0.6625,0.2038*
n,137,0.6625,0.2492*
n,138,0.6625,0.2946*
n,139,0.6625,0.34*
n,140,0.6625,0.37*
n,141,0.6625,0.4*
n,142,0.6625,0.43*
n,145,0.715,0.03*
n,146,0.715,0.063*
n,147,0.715,0.113*
n,148,0.715,0.1584*
n,149,0.715,0.2038*
n,150,0.715,0.2492*
n,151,0.715,0.2946*
n,152,0.715,0.34*
n,153,0.715,0.37*
n,154,0.715,0.4*
n,155,0.715,0.43*
n,158,0.7675,0.03*
n,159,0.7675,0.063*
n,160,0.7675,0.113*
n,161,0.7675,0.1584*
n,162,0.7675,0.2038*
n,163,0.7675,0.2492*
n,164,0.7675,0.2946*
n,165,0.7675,0.34*
n,166,0.7675,0.37*
n,167,0.7675,0.4*
n,168,0.7675,0.43*
n,171,0.82,0.03*
n,172,0.82,0.063*
n,173,0.82,0.113*
n,174,0.82,0.1584*
n,175,0.82,0.2038*
n,176,0.82,0.2492*
n,177,0.82,0.2946*
n,178,0.82,0.34*
n,179,0.82,0.37*
n,180,0.82,0.4*
n,181,0.82,0.43*
n,184,0.8725,0.03*
n,185,0.8725,0.063*
n,186,0.8725,0.113*
n,187,0.8725,0.1584*
n,188,0.8725,0.2038*
n,189,0.8725,0.2492*
n,190,0.8725,0.2946*
n,191,0.8725,0.34*
n,192,0.8725,0.37*
n,193,0.8725,0.4*
n,194,0.8725,0.43*
n,197,0.925,0.03*
n,198,0.925,0.063*
n,199,0.925,0.113*
n,200,0.925,0.1584*
n,201,0.925,0.2038*
n,202,0.925,0.2492*
n,203,0.925,0.2946*
n,204,0.925,0.34*
n,205,0.925,0.37*
n,206,0.925,0.4*
n,207,0.925,0.43*
n,210,0.9775,0.03*
n,211,0.9775,0.063*
n,212,0.9775,0.113*
n,213,0.9775,0.1584*
n,214,0.9775,0.2038*
n,215,0.9775,0.2492*
n,216,0.9775,0.2946*
n,217,0.9775,0.34*
n,218,0.9775,0.37*
n,219,0.9775,0.4*
n,220,0.9775,0.43*
n,223,1.03,0.03*
n,224,1.03,0.063*
n,225,1.03,0.113*
n,226,1.03,0.1584*
n,227,1.03,0.2038*
n,228,1.03,0.2492*
n,229,1.03,0.2946*
n,230,1.03,0.34*
n,231,1.03,0.37*
n,232,1.03,0.4*
n,233,1.03,0.43*
n,236,1.0825,0.03*
n,237,1.0825,0.063*
n,238,1.0825,0.113*
n,239,1.0825,0.1584*
n,240,1.0825,0.2038*
n,241,1.0825,0.2492*
n,242,1.0825,0.2946*
n,243,1.0825,0.34*
n,244,1.0825,0.37*
n,245,1.0825,0.4*
n,246,1.0825,0.43*
n,249,1.135,0.03*
n,250,1.135,0.063*
n,251,1.135,0.113*
n,252,1.135,0.1584*
n,253,1.135,0.2038*
n,254,1.135,0.2492*
n,255,1.135,0.2946*
n,256,1.135,0.34*
n,257,1.135,0.37*
n,258,1.135,0.4*
n,259,1.135,0.43*
n,262,1.1875,0.03*
n,263,1.1875,0.063*
n,264,1.1875,0.113*
n,265,1.1875,0.1584*
n,266,1.1875,0.2038*
n,267,1.1875,0.2492*
n,268,1.1875,0.2946*
n,269,1.1875,0.34*
n,270,1.1875,0.37*
n,271,1.1875,0.4*
n,272,1.1875,0.43*
n,275,1.24,0.03*
n,276,1.24,0.063*
n,277,1.24,0.113*
n,278,1.24,0.1584*
n,279,1.24,0.2038*
n,280,1.24,0.2492*
n,281,1.24,0.2946*
n,282,1.24,0.34*
n,283,1.24,0.37*
n,284,1.24,0.4*
n,285,1.24,0.43*
n,288,1.2925,0.03*
n,289,1.2925,0.063*
n,290,1.2925,0.113*
n,291,1.2925,0.1584*
n,292,1.2925,0.2038*
n,293,1.2925,0.2492*
n,294,1.2925,0.2946*
n,295,1.2925,0.34*
n,296,1.2925,0.37*
n,297,1.2925,0.4*
n,298,1.2925,0.43*
n,301,1.345,0.03*
n,302,1.345,0.063*
n,303,1.345,0.113*
n,304,1.345,0.1584*
n,305,1.345,0.2038*
n,306,1.345,0.2492*
n,307,1.345,0.2946*
n,308,1.345,0.34*
n,309,1.345,0.37*
n,310,1.345,0.4*
n,311,1.345,0.43*
n,314,1.3975,0.03*
n,315,1.3975,0.063*
n,316,1.3975,0.113*
n,317,1.3975,0.1584*
n,318,1.3975,0.2038*
n,319,1.3975,0.2492*
n,320,1.3975,0.2946*
n,321,1.3975,0.34*
n,322,1.3975,0.37*
n,323,1.3975,0.4*
n,324,1.3975,0.43*
n,325,1.3975,0.46*
n,327,1.45,0.03*
n,328,1.45,0.063*
n,329,1.45,0.113*
n,330,1.45,0.1584*
n,331,1.45,0.2038*
n,332,1.45,0.2492*
n,333,1.45,0.2946*
n,334,1.45,0.34*
n,335,1.45,0.37*
n,336,1.45,0.4*
n,337,1.45,0.43*
n,338,1.45,0.46*
n,340,1.5025,0.03*
n,341,1.5025,0.063*
n,342,1.5025,0.113*
n,343,1.5025,0.1584*
n,344,1.5025,0.2038*
n,345,1.5025,0.2492*
n,346,1.5025,0.2946*
n,347,1.5025,0.34*
n,348,1.5025,0.37*
n,349,1.5025,0.4*
n,350,1.5025,0.43*
n,351,1.5025,0.46*
n,353,1.5625,0.03*
n,354,1.5625,0.063*
n,355,1.5625,0.113*
n,356,1.5625,0.1584*
n,357,1.5625,0.2038*
n,358,1.5625,0.2492*
n,359,1.5625,0.2946*
n,360,1.5625,0.34*
n,361,1.5625,0.37*
n,362,1.5625,0.4*
n,363,1.5625,0.43*
n,366,1.6175,0.03*
n,367,1.6175,0.063*
n,368,1.6175,0.113*
n,369,1.6175,0.1584*
n,370,1.6175,0.2038*
n,371,1.6175,0.2492*
n,372,1.6175,0.2946*
n,373,1.6175,0.34*
n,374,1.6175,0.37*
n,375,1.6175,0.4*
n,376,1.6175,0.43*
n,379,1.6725,0.03*
n,380,1.6725,0.063*
n,381,1.6725,0.113*
n,382,1.6725,0.1584*
n,383,1.6725,0.2038*
n,384,1.6725,0.2492*
n,385,1.6725,0.2946*
n,386,1.6725,0.34*
n,387,1.6725,0.37*
n,388,1.6725,0.4*
n,389,1.6725,0.43*
n,392,1.7275,0.03*
n,393,1.7275,0.063*
n,394,1.7275,0.113*
n,395,1.7275,0.1584*
n,396,1.7275,0.2038*
n,397,1.7275,0.2492*
n,398,1.7275,0.2946*
n,399,1.7275,0.34*
n,400,1.7275,0.37*
n,401,1.7275,0.4*
n,402,1.7275,0.43*
n,405,1.7825,0.03*
n,406,1.7825,0.063*
n,407,1.7825,0.113*
n,408,1.7825,0.1584*
n,409,1.7825,0.2038*
n,410,1.7825,0.2492*
n,411,1.7825,0.2946*
n,412,1.7825,0.34*
n,413,1.7825,0.37*
n,414,1.7825,0.4*
n,415,1.7825,0.43*
n,418,1.8375,0.03*
n,419,1.8375,0.063*
n,420,1.8375,0.113*
n,421,1.8375,0.1584*
n,422,1.8375,0.2038*
n,423,1.8375,0.2492*
n,424,1.8375,0.2946*
n,425,1.8375,0.34*
n,426,1.8375,0.37*
n,427,1.8375,0.4*
n,428,1.8375,0.43*
n,431,1.9,0.03*
n,432,1.9,0.063*
n,433,1.9,0.113*
n,434,1.9,0.1584*
n,435,1.9,0.2038*
n,436,1.9,0.2492*
n,437,1.9,0.2946*
n,438,1.9,0.34*
n,439,1.9,0.37*
n,440,1.9,0.4*
n,441,1.9,0.43*
e,1,conc3N,2,16,3,0.2,1*
e,2,conc3N,15,16,2,0.2,1*
e,3,conc3N,3,16,4,0.2,1*
e,4,conc3N,16,17,4,0.2,1*
e,5,conc3N,4,18,5,0.2,1*
e,6,conc3N,17,18,4,0.2,1*
e,7,conc3N,5,18,6,0.2,1*
e,8,conc3N,18,19,6,0.2,1*
e,9,conc3N,6,20,7,0.2,1*
e,10,conc3N,19,20,6,0.2,1*
e,11,conc3N,7,20,8,0.2,1*
e,12,conc3N,20,21,8,0.2,1*
e,13,conc3N,8,22,9,0.2,1*
e,14,conc3N,21,22,8,0.2,1*
e,15,conc3N,9,22,10,0.8,1*
e,16,conc3N,22,23,10,0.8,1*
e,17,conc3N,10,24,11,0.8,1*
e,18,conc3N,23,24,10,0.8,1*
e,19,conc3N,11,24,12,0.8,1*
e,20,conc3N,24,25,12,0.8,1*
e,21,conc3N,15,28,16,0.2,1*
e,22,conc3N,28,29,16,0.2,1*
e,23,conc3N,16,30,17,0.2,1*
e,24,conc3N,29,30,16,0.2,1*
e,25,conc3N,17,30,18,0.2,1*
e,26,conc3N,30,31,18,0.2,1*
e,27,conc3N,18,32,19,0.2,1*
e,28,conc3N,31,32,18,0.2,1*
e,29,conc3N,19,32,20,0.2,1*
e,30,conc3N,32,33,20,0.2,1*
e,31,conc3N,20,34,21,0.2,1*
e,32,conc3N,33,34,20,0.2,1*
e,33,conc3N,21,34,22,0.2,1*
e,34,conc3N,34,35,22,0.2,1*
e,35,conc3N,22,36,23,0.8,1*
e,36,conc3N,35,36,22,0.8,1*
e,37,conc3N,23,36,24,0.8,1*
