version,1,0.01*
steps,2*

m,1,concrete,10.7,24239*
m,11,steel,1.0E8,210000.0,20.5*
m,12,steel,375,200000,20.5*
m,13,steel,705,210000.0,20.5*
m,14,steel,705,210000.0,20.5*
m,15,steelLinSoft,0.259,24239,2.42*
b,483,ux,0.0*
b,484,ux,0.0*
b,485,ux,0.0*
b,486,ux,0.0*
b,487,ux,0.0*
b,488,ux,0.0*
b,489,ux,0.0*
b,490,ux,0.0*
b,491,ux,0.0*
b,492,ux,0.0*
b,493,ux,0.0*
b,66,uy,0.0*
f,390,0,-1,G*
n,2,0,0.03*
n,3,0,0.063*
n,4,0,0.113*
n,5,0,0.1584*
n,6,0,0.2038*
n,7,0,0.2492*
n,8,0,0.2946*
n,9,0,0.34*
n,10,0,0.37*
n,11,0,0.4*
n,12,0,0.43*
n,15,0.1075,0.03*
n,16,0.1075,0.063*
n,17,0.1075,0.113*
n,18,0.1075,0.1584*
n,19,0.1075,0.2038*
n,20,0.1075,0.2492*
n,21,0.1075,0.2946*
n,22,0.1075,0.34*
n,23,0.1075,0.37*
n,24,0.1075,0.4*
n,25,0.1075,0.43*
n,28,0.1875,0.03*
n,29,0.1875,0.063*
n,30,0.1875,0.113*
n,31,0.1875,0.1584*
n,32,0.1875,0.2038*
n,33,0.1875,0.2492*
n,34,0.1875,0.2946*
n,35,0.1875,0.34*
n,36,0.1875,0.37*
n,37,0.1875,0.4*
n,38,0.1875,0.43*
n,41,0.2675,0.03*
n,42,0.2675,0.063*
n,43,0.2675,0.113*
n,44,0.2675,0.1584*
n,45,0.2675,0.2038*
n,46,0.2675,0.2492*
n,47,0.2675,0.2946*
n,48,0.2675,0.34*
n,49,0.2675,0.37*
n,50,0.2675,0.4*
n,51,0.2675,0.43*
n,53,0.3475,0*
n,54,0.3475,0.03*
n,55,0.3475,0.063*
n,56,0.3475,0.113*
n,57,0.3475,0.1584*
n,58,0.3475,0.2038*
n,59,0.3475,0.2492*
n,60,0.3475,0.2946*
n,61,0.3475,0.34*
n,62,0.3475,0.37*
n,63,0.3475,0.4*
n,64,0.3475,0.43*
n,66,0.4,0*
n,67,0.4,0.03*
n,68,0.4,0.063*
n,69,0.4,0.113*
n,70,0.4,0.1584*
n,71,0.4,0.2038*
n,72,0.4,0.2492*
n,73,0.4,0.2946*
n,74,0.4,0.34*
n,75,0.4,0.37*
n,76,0.4,0.4*
n,77,0.4,0.43*
n,79,0.4525,0*
n,80,0.4525,0.03*
n,81,0.4525,0.063*
n,82,0.4525,0.113*
n,83,0.4525,0.1584*
n,84,0.4525,0.2038*
n,85,0.4525,0.2492*
n,86,0.4525,0.2946*
n,87,0.4525,0.34*
n,88,0.4525,0.37*
n,89,0.4525,0.4*
n,90,0.4525,0.43*
n,93,0.4875,0.03*
n,94,0.4875,0.063*
n,95,0.4875,0.113*
n,96,0.4875,0.1584*
n,97,0.4875,0.2038*
n,98,0.4875,0.2492*
n,99,0.4875,0.2946*
n,100,0.4875,0.34*
n,101,0.4875,0.37*
n,102,0.4875,0.4*
n,103,0.4875,0.43*
n,106,0.5313,0.03*
n,107,0.5313,0.063*
n,108,0.5313,0.113*
n,109,0.5313,0.1584*
n,110,0.5313,0.2038*
n,111,0.5313,0.2492*
n,112,0.5313,0.2946*
n,113,0.5313,0.34*
n,114,0.5313,0.37*
n,115,0.5313,0.4*
n,116,0.5313,0.43*
n,119,0.5751,0.03*
n,120,0.5751,0.063*
n,121,0.5751,0.113*
n,122,0.5751,0.1584*
n,123,0.5751,0.2038*
n,124,0.5751,0.2492*
n,125,0.5751,0.2946*
n,126,0.5751,0.34*
n,127,0.5751,0.37*
n,128,0.5751,0.4*
n,129,0.5751,0.43*
n,132,0.6189,0.03*
n,133,0.6189,0.063*
n,134,0.6189,0.113*
n,135,0.6189,0.1584*
n,136,0.6189,0.2038*
n,137,0.6189,0.2492*
n,138,0.6189,0.2946*
n,139,0.6189,0.34*
n,140,0.6189,0.37*
n,141,0.6189,0.4*
n,142,0.6189,0.43*
n,145,0.6627,0.03*
n,146,0.6627,0.063*
n,147,0.6627,0.113*
n,148,0.6627,0.1584*
n,149,0.6627,0.2038*
n,150,0.6627,0.2492*
n,151,0.6627,0.2946*
n,152,0.6627,0.34*
n,153,0.6627,0.37*
n,154,0.6627,0.4*
n,155,0.6627,0.43*
n,158,0.7065,0.03*
n,159,0.7065,0.063*
n,160,0.7065,0.113*
n,161,0.7065,0.1584*
n,162,0.7065,0.2038*
n,163,0.7065,0.2492*
n,164,0.7065,0.2946*
n,165,0.7065,0.34*
n,166,0.7065,0.37*
n,167,0.7065,0.4*
n,168,0.7065,0.43*
n,171,0.7503,0.03*
n,172,0.7503,0.063*
n,173,0.7503,0.113*
n,174,0.7503,0.1584*
n,175,0.7503,0.2038*
n,176,0.7503,0.2492*
n,177,0.7503,0.2946*
n,178,0.7503,0.34*
n,179,0.7503,0.37*
n,180,0.7503,0.4*
n,181,0.7503,0.43*
n,184,0.7941,0.03*
n,185,0.7941,0.063*
n,186,0.7941,0.113*
n,187,0.7941,0.1584*
n,188,0.7941,0.2038*
n,189,0.7941,0.2492*
n,190,0.7941,0.2946*
n,191,0.7941,0.34*
n,192,0.7941,0.37*
n,193,0.7941,0.4*
n,194,0.7941,0.43*
n,197,0.8379,0.03*
n,198,0.8379,0.063*
n,199,0.8379,0.113*
n,200,0.8379,0.1584*
n,201,0.8379,0.2038*
n,202,0.8379,0.2492*
n,203,0.8379,0.2946*
n,204,0.8379,0.34*
n,205,0.8379,0.37*
n,206,0.8379,0.4*
n,207,0.8379,0.43*
n,210,0.8817,0.03*
n,211,0.8817,0.063*
n,212,0.8817,0.113*
n,213,0.8817,0.1584*
n,214,0.8817,0.2038*
n,215,0.8817,0.2492*
n,216,0.8817,0.2946*
n,217,0.8817,0.34*
n,218,0.8817,0.37*
n,219,0.8817,0.4*
n,220,0.8817,0.43*
n,223,0.9255,0.03*
n,224,0.9255,0.063*
n,225,0.9255,0.113*
n,226,0.9255,0.1584*
n,227,0.9255,0.2038*
n,228,0.9255,0.2492*
n,229,0.9255,0.2946*
n,230,0.9255,0.34*
n,231,0.9255,0.37*
n,232,0.9255,0.4*
n,233,0.9255,0.43*
n,236,0.9693,0.03*
n,237,0.9693,0.063*
n,238,0.9693,0.113*
n,239,0.9693,0.1584*
n,240,0.9693,0.2038*
n,241,0.9693,0.2492*
n,242,0.9693,0.2946*
n,243,0.9693,0.34*
n,244,0.9693,0.37*
n,245,0.9693,0.4*
n,246,0.9693,0.43*
n,249,1.0131,0.03*
n,250,1.0131,0.063*
n,251,1.0131,0.113*
n,252,1.0131,0.1584*
n,253,1.0131,0.2038*
n,254,1.0131,0.2492*
n,255,1.0131,0.2946*
n,256,1.0131,0.34*
n,257,1.0131,0.37*
n,258,1.0131,0.4*
n,259,1.0131,0.43*
n,262,1.0569,0.03*
n,263,1.0569,0.063*
n,264,1.0569,0.113*
n,265,1.0569,0.1584*
n,266,1.0569,0.2038*
n,267,1.0569,0.2492*
n,268,1.0569,0.2946*
n,269,1.0569,0.34*
n,270,1.0569,0.37*
n,271,1.0569,0.4*
n,272,1.0569,0.43*
n,275,1.1007,0.03*
n,276,1.1007,0.063*
n,277,1.1007,0.113*
n,278,1.1007,0.1584*
n,279,1.1007,0.2038*
n,280,1.1007,0.2492*
n,281,1.1007,0.2946*
n,282,1.1007,0.34*
n,283,1.1007,0.37*
n,284,1.1007,0.4*
n,285,1.1007,0.43*
n,288,1.1445,0.03*
n,289,1.1445,0.063*
n,290,1.1445,0.113*
n,291,1.1445,0.1584*
n,292,1.1445,0.2038*
n,293,1.1445,0.2492*
n,294,1.1445,0.2946*
n,295,1.1445,0.34*
n,296,1.1445,0.37*
n,297,1.1445,0.4*
n,298,1.1445,0.43*
n,301,1.1883,0.03*
n,302,1.1883,0.063*
n,303,1.1883,0.113*
n,304,1.1883,0.1584*
n,305,1.1883,0.2038*
n,306,1.1883,0.2492*
n,307,1.1883,0.2946*
n,308,1.1883,0.34*
n,309,1.1883,0.37*
n,310,1.1883,0.4*
n,311,1.1883,0.43*
n,314,1.2321,0.03*
n,315,1.2321,0.063*
n,316,1.2321,0.113*
n,317,1.2321,0.1584*
n,318,1.2321,0.2038*
n,319,1.2321,0.2492*
n,320,1.2321,0.2946*
n,321,1.2321,0.34*
n,322,1.2321,0.37*
n,323,1.2321,0.4*
n,324,1.2321,0.43*
n,327,1.2759,0.03*
n,328,1.2759,0.063*
n,329,1.2759,0.113*
n,330,1.2759,0.1584*
n,331,1.2759,0.2038*
n,332,1.2759,0.2492*
n,333,1.2759,0.2946*
n,334,1.2759,0.34*
n,335,1.2759,0.37*
n,336,1.2759,0.4*
n,337,1.2759,0.43*
n,340,1.3197,0.03*
n,341,1.3197,0.063*
n,342,1.3197,0.113*
n,343,1.3197,0.1584*
n,344,1.3197,0.2038*
n,345,1.3197,0.2492*
n,346,1.3197,0.2946*
n,347,1.3197,0.34*
n,348,1.3197,0.37*
n,349,1.3197,0.4*
n,350,1.3197,0.43*
n,353,1.3635,0.03*
n,354,1.3635,0.063*
n,355,1.3635,0.113*
n,356,1.3635,0.1584*
n,357,1.3635,0.2038*
n,358,1.3635,0.2492*
n,359,1.3635,0.2946*
n,360,1.3635,0.34*
n,361,1.3635,0.37*
n,362,1.3635,0.4*
n,363,1.3635,0.43*
n,366,1.4073,0.03*
n,367,1.4073,0.063*
n,368,1.4073,0.113*
n,369,1.4073,0.1584*
n,370,1.4073,0.2038*
n,371,1.4073,0.2492*
n,372,1.4073,0.2946*
n,373,1.4073,0.34*
n,374,1.4073,0.37*
n,375,1.4073,0.4*
n,376,1.4073,0.43*
n,377,1.4073,0.46*
n,379,1.4511,0.03*
n,380,1.4511,0.063*
n,381,1.4511,0.113*
n,382,1.4511,0.1584*
n,383,1.4511,0.2038*
n,384,1.4511,0.2492*
n,385,1.4511,0.2946*
n,386,1.4511,0.34*
n,387,1.4511,0.37*
n,388,1.4511,0.4*
n,389,1.4511,0.43*
n,390,1.4511,0.46*
n,392,1.4949,0.03*
n,393,1.4949,0.063*
n,394,1.4949,0.113*
n,395,1.4949,0.1584*
n,396,1.4949,0.2038*
n,397,1.4949,0.2492*
n,398,1.4949,0.2946*
n,399,1.4949,0.34*
n,400,1.4949,0.37*
n,401,1.4949,0.4*
n,402,1.4949,0.43*
n,403,1.4949,0.46*
n,405,1.5625,0.03*
n,406,1.5625,0.063*
n,407,1.5625,0.113*
n,408,1.5625,0.1584*
n,409,1.5625,0.2038*
n,410,1.5625,0.2492*
n,411,1.5625,0.2946*
n,412,1.5625,0.34*
n,413,1.5625,0.37*
n,414,1.5625,0.4*
n,415,1.5625,0.43*
n,418,1.6188,0.03*
n,419,1.6188,0.063*
n,420,1.6188,0.113*
n,421,1.6188,0.1584*
n,422,1.6188,0.2038*
n,423,1.6188,0.2492*
n,424,1.6188,0.2946*
n,425,1.6188,0.34*
n,426,1.6188,0.37*
n,427,1.6188,0.4*
n,428,1.6188,0.43*
n,431,1.6751,0.03*
n,432,1.6751,0.063*
n,433,1.6751,0.113*
n,434,1.6751,0.1584*
n,435,1.6751,0.2038*
n,436,1.6751,0.2492*
n,437,1.6751,0.2946*
n,438,1.6751,0.34*
n,439,1.6751,0.37*
n,440,1.6751,0.4*
n,441,1.6751,0.43*
n,444,1.7314,0.03*
n,445,1.7314,0.063*
n,446,1.7314,0.113*
n,447,1.7314,0.1584*
n,448,1.7314,0.2038*
n,449,1.7314,0.2492*
n,450,1.7314,0.2946*
n,451,1.7314,0.34*
n,452,1.7314,0.37*
n,453,1.7314,0.4*
n,454,1.7314,0.43*
n,457,1.7877,0.03*
n,458,1.7877,0.063*
n,459,1.7877,0.113*
n,460,1.7877,0.1584*
n,461,1.7877,0.2038*
n,462,1.7877,0.2492*
n,463,1.7877,0.2946*
n,464,1.7877,0.34*
n,465,1.7877,0.37*
n,466,1.7877,0.4*
n,467,1.7877,0.43*
n,470,1.844,0.03*
n,471,1.844,0.063*
n,472,1.844,0.113*
